name,area,ranked,files,test_files,prod_loc,test_loc,gen_loc,test_ratio,funcs,sum_cyclo,max_cyclo,sum_cognit,max_cognit,median_cognit,cognit_per_100loc,funcs_over_cyclo,funcs_over_cognit,stmts,covered,cov_pct,uncovered_cognit,commits_90d,lines_changed_90d,commits_180d,lines_changed_180d,fan_in,fan_out
capture:strategy,capture,true,40,59,19851,34693,0,1.75,509,2901,34,3168,62,3.0,16.0,37,37,6925,5326,76.9,237,848,32371,1768,69216,0,0
capture:checkpoint-store,capture,true,36,52,12494,18028,0,1.44,420,1803,28,1854,48,2.0,14.8,12,18,4060,3255,80.2,81,604,29232,783,36935,0,0
cmd:trail,command,true,10,14,8221,7270,0,0.88,343,1678,35,1697,52,3.0,20.6,11,11,3726,2414,64.8,468,338,19331,396,23993,0,0
cmd:review,command,true,28,29,9452,11897,0,1.26,343,1695,31,1663,47,3.0,17.6,15,14,3645,2540,69.7,340,449,15468,695,39506,0,0
test-infra,test-infra,false,37,121,10072,31447,0,3.12,501,1475,22,1296,48,1.0,12.9,3,5,3878,1481,38.2,794,394,18692,824,35687,0,0
cmd:control-plane,command,true,14,15,5796,5331,0,0.92,205,843,26,1033,56,3.0,17.8,2,9,2104,1375,65.4,411,409,18762,478,21503,0,0
cmd:explain,command,true,8,9,5694,10555,0,1.85,154,910,29,1028,45,4.0,18.1,7,12,2139,1722,80.5,75,197,7074,469,22013,0,0
cmd:session,command,true,11,9,5506,10352,0,1.88,176,932,30,1018,44,3.5,18.5,6,8,2204,1686,76.5,98,328,12791,552,25593,0,0
cmd:enable-disable-configure,command,true,7,8,4970,8150,0,1.64,155,876,40,951,61,2.0,19.1,14,13,1914,1381,72.2,92,208,10837,360,18275,0,0
cmd:auth-login,command,true,34,39,7169,10033,0,1.40,288,1013,20,840,27,2.0,11.7,1,3,2070,1761,85.1,27,512,22227,717,32863,0,0
cmd:search,command,true,7,8,4913,5010,0,1.02,142,780,51,830,105,3.0,16.9,8,8,1953,1437,73.6,116,240,14965,269,19153,0,0
cmd:investigate,command,true,22,21,5764,5721,0,0.99,170,813,32,803,47,3.0,13.9,8,6,1937,1461,75.4,92,23,1425,264,17843,0,0
capture:transcript,capture,true,12,13,3393,3226,0,0.95,108,613,27,797,55,4.0,23.5,5,10,1305,1149,88.0,6,28,1610,118,8282,0,0
capture:hooks-lifecycle,capture,true,13,16,5447,9284,0,1.70,145,769,56,778,83,3.0,14.3,10,5,1879,1500,79.8,46,290,15254,482,22688,0,0
cmd:plugin,command,true,11,12,4399,3957,0,0.90,130,683,23,725,34,3.0,16.5,5,7,1493,984,65.9,192,148,8560,199,11186,0,0
agent:claudecode,agents,true,15,12,3418,5164,0,1.51,111,534,23,640,49,2.0,18.7,4,7,1126,959,85.2,1,103,5126,186,8953,0,0
agent:codex,agents,true,14,13,3354,3667,0,1.09,136,601,26,627,46,2.0,18.7,5,7,1235,1023,82.8,16,158,10536,275,16705,0,0
platform:git-remote-entire,platform,true,21,18,3258,5220,0,1.60,87,508,27,600,49,3.0,18.4,7,7,1186,889,75.0,47,96,3235,159,10494,0,0
capture:redaction,capture,true,10,11,2945,4765,0,1.62,108,459,19,507,33,2.0,17.2,1,4,952,852,89.5,1,92,3469,148,8529,0,0
cmd:doctor,command,true,7,8,2307,2950,0,1.28,66,406,27,478,52,4.0,20.7,5,5,978,685,70.0,129,122,4893,205,9529,0,0
cmd:dispatch,command,true,16,17,2771,4627,0,1.67,99,461,32,474,48,2.0,17.1,2,4,1012,759,75.0,53,54,2107,295,14431,0,0
agent:framework,agents,true,31,20,4675,5184,0,1.11,201,549,17,422,24,1.0,9.0,1,1,1144,851,74.4,62,143,4795,305,10838,0,0
infra:settings,infra,true,5,7,2955,3184,0,1.08,124,482,17,411,28,2.0,13.9,1,1,946,787,83.2,21,124,4363,248,10002,0,0
agent:factoryaidroid,agents,true,7,5,1888,2932,0,1.55,74,331,33,372,49,2.0,19.7,2,4,720,619,86.0,3,31,1571,60,2127,0,0
cmd:recap,command,true,8,4,1886,1343,0,0.71,80,371,21,292,22,3.0,15.5,2,1,768,585,76.2,45,15,290,50,3637,0,0
infra:git-layer,infra,true,13,13,2394,3502,0,1.46,109,364,18,290,23,1.0,12.1,1,1,709,610,86.0,16,86,4607,141,6473,0,0
cmd:blame-why,command,true,1,2,1451,1190,0,0.82,60,286,26,288,53,2.0,19.8,2,2,633,503,79.5,24,46,1973,51,3543,0,0
cmd:import,command,true,15,16,1907,2925,0,1.53,67,265,20,287,42,2.0,15.0,1,2,586,490,83.6,12,157,6836,157,6836,0,0
cmd:checkpoint,command,true,6,4,1758,1142,0,0.65,67,305,24,284,32,3.0,16.2,1,1,677,538,79.5,30,71,3167,78,3605,0,0
